Country,FAOSTAT group,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bermuda,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8,99.47,40.9,30.67,80.33,53.87,59.71,24.01,30.65,46.64,65.12,85,139.64,81.14,387.48,251.49,299.91,254.15,334.86,323.08,227.46,161.86,180.84
Bhutan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,145,140,135,130,125,120,115,125,117,131,130,125,115,110,105,100,95,90,85,80,75,70,65,70,409,590,598,681,771,863,988,1451.7,1473,1564,1536,1597,1638
Bolivia (Plurinat.State),Freshwater & diadromous fish,Total food supply,Tonnes - live weight,500,1300,1400,1900,1800,1700,1500,1300,1200,1100,1300,1500,1500,1050,1050,1250,1550,1550,3650,4179,5417,3905,3905,3905,3770,2776,3125,3145,3954,3738,3459,3547,5533.54,5208.22,5833.15,5952.74,5574,5595.29,6509.87,6381.44,5808.51,6252.22,6721.01,6166.4,5945.4,5666.23,5443.4,6423.51,7373.11,7102.55,7517.54,7789.98,8340.27,8453.13,10107.18,10351.3,10603.45
Bosnia and Herzegovina,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,200,252.86,276.9,273.28,477.71,412.67,772.2,4997.8,6387.68,5569.11,5704.74,5654.47,5948.3,5870.22,5605.68,5521.33,2978.36,4083.07,4235,3919.27,4803.94,4788.58,3972.41
Botswana,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,400,500,500,500,500,600,600,800,800,800,1100,1200,1200,1200,1200,1600,1500,1000,1000,1250,1450,1400,1250,1500,1500,1700,1900,1900,1794.42,1338.33,1709.05,867.58,840.41,680.42,332.82,321.08,1478.35,922.86,157,403.53,379.29,536.72,273.1,296.35,284.58,199.87,248.78,143.08,279.68,158.64,383.47,775.7,736.91,1125.43,340.6,261.71,298.95
Brazil,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,57500,63500,65500,87800,90500,84800,88100,97600,103700,83803.08,78616.69,72851.38,77845.31,156323.23,164357.93,135853.73,158514.66,160123.22,119826.79,177794.61,187215.53,186209.75,179579.11,196446.57,193070.12,205475.7,217244.65,190686.77,203646.9,193468.22,191512.8,190387.85,197136.33,193215.89,232450.93,277213.53,260114.14,267062.61,299869.46,335694.5,376270.67,421593.87,405746.33,438373,436376.16,456119.09,470336.49,537805.05,562497.14,608517,625557.62,733901.74,803680.11,952448.94,904051.27,913618.42,942583.73
Brunei Darussalam,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,60,70,276.41,241.38,241.16,208.36,267.17,290.01,439.54,440.62,295.62,424.44,194.06,89,89,86,90,86,24,1090.86,2363.16,1283.89,1224.78,1775.08,1559.05,535.36,122.56,1658.87,1577.73,1363.09,1493.43,566.86,457.26,202.67,993.06,520.07,475.98,225.21,376.26,1381.58,1997.59,1717.21,1805.4,1850.28
Bulgaria,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1100,1200,1000,5700,6000,5100,8500,6500,7914,8304,6459,7033,7993,8621,8460,8286,9130,8696,11001,12450,13246,15629,13788,15674,11970,14487,13839,13154,13127,9493,9269,8023.5,8078.53,6618.14,1453.41,2906.5,7029.1,6551.48,10008.41,4372.68,4431.99,2228.55,3422.51,2648.19,2654.99,6276.35,6337.86,9902.13,15620.09,17870.8,12258.52,13566.29,18747.03,15275.38,15903.83,15386.22,13850.94
Burkina Faso,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,2600,4785.71,9000,8642.86,6928.57,8285.71,8250,7937.5,7937.5,5000,5000,4000,5000,5000,5000,6000,6000,7000,7000,6500,7500,7000,7214,7374,7433,7630,7826,7907,8006,7006,7005,7505,7000,8021.7,8013.86,8040.86,8072.95,8378.86,7697.3,8584.71,8529.96,8521.55,9027.53,9006,8351.4,8045.91,7723.92,7842.88,7160.88,11194.31,12261.01,17582.46,18342.09,18730.19,18990.37,21347.72,22359.94
Burundi,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,5300,7200,10600,9700,20200,16600,12300,15000,15600,13300,16900,7500,8500,10982,14547,20331,18899,15681,11249,14767,11880,12131,11366,11362,11371,11860,12032,11701,10787,17425,21044,24123,17050,22050,21149,3099.23,20369.77,13474,9253,17370.56,9019.33,11044,14745,13901,13442,13017.86,11358.4,18303,12663.19,17351.94,10889,12586.33,13541.98,16173.61,21468,23199.22,20430
