"Land Area","Ocean Area","Unit","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Burundi","Inland waters","t","18315","","12665","","17322.3","","10715.7","","12469.4","","13617","","16859","","21446","","23205","","20469","","21860","F"
"Cambodia","Inland waters","t","403350","","437965","","462780","","514380","","520030","","614590","","620540","","627535","","669018","","722773","F","774165","F"
"Cambodia","Inland waters","no","156500","","185000","","0",".","0",".","0",".","10000","","7602","","18050","","5755","","4652","","3119",""
"Cameroon","Inland waters","t","75246","F","75546","","68570","F","61571","F","54840","F","48195","F","41575","F","35955","F","30315","F","32607","","32976",""
"Canada","Inland waters","t","40063","","41850","","35784","","33026","","36753","","36481","","35851","","37121","","41326","","39792","","53298",""
"Central African Republic","Inland waters","t","31140","F","33140","F","35170","F","35170","F","32182","","30180","F","29180","F","28180","F","29190","F","29190","F","29190","F"
"Chad","Inland waters","t","85030","","88030","","91030","","95030","","100030","","120060","","120080","","100154","","110094","","107495","","107450","F"
"Chile","Inland waters","t","8716","","27481","","36238","F","41428","","59542","","44420","","68690","","648","","915","","3182.61","","1347.48",""
"China","Inland waters","t","23029512.344","","24051664","F","24845617","F","25474533","F","26191474","F","27588450","F","28996013","F","29863563","F","30848293.753","","31304026.182","","31625472.563",""
"China, Hong Kong SAR","Inland waters","t","2266","","2105","","2190","","2315","","2306","","2187","","2001","","2092","","2543","","2543","","2536",""
"Colombia","Inland waters","t","70450","F","85204","","88727","","99080","","102009","","102598","F","106634","F","111927","","122815","F","141910","F","149416.22",""
"Colombia","Inland waters","no","532761","","405396","","647765","","640095","","629746","","857696","","740043","","517275","","370648","","313164","","78813",""
"Congo","Inland waters","t","29427","","28441","","30558","","33458","","37968","","36109","","38224","","37473","","40165","","39049","","41129",""
"Congo, Dem. Rep. of the","Inland waters","t","229970","F","226970","F","222970","F","219970","F","216869","","226465","","228479","","230656.5","","232461","","233200","F","233200","F"
"Cook Islands","Inland waters","t","2","F","2","F","2","F","2","F","2","F","2","F","2","F","0.3","","1","F","1","F","1","F"
"Costa Rica","Inland waters","t","21868","","21280","","23689","","24724.5","","24179","","27312","","23564.5","F","19150.5","","17151","F","17151","F","17151","F"
"Croatia","Inland waters","t","4503","","5491","","5504","","6667","","4637","","3658","","4215","","5275.91","","4450.2","","3645.2","","3414.83",""
"Cuba","Inland waters","t","34891","","33697","","28775","","21964.8","","23184.2","","25631.1","","27914","","28227","","24745","","26272","","22918",""
"Cuba","Inland waters","no","1","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Cyprus","Inland waters","t","77","","90.2","","90.5","","87.4","","81.15","","74.86","","62.8","","63.7","","60.5","","64.11","","63.84",""
"Czechia","Inland waters","t","24559","","24183","","24410","","24869","","24796","","23118.4","","23947","","24041","","24459","","25242","","25401",""
"Côte d'Ivoire","Inland waters","t","6453","","6991","","8463","","9650","","11440","","11167","","11211","","44253","","44828","","39463","","36342",""
"Denmark","Inland waters","t","22700","","21401.1","","23332","F","23458","F","22216.16","","21364.2","F","21781.3","F","21797.5","","22483","F","21845","F","22009","F"
"Dominica","Inland waters","t","24","F","24","F","11","F","6","F","6","F","6","F","6","F","6","F","6","F","0","0","0","-"
"Dominican Republic","Inland waters","t","1848","","572","","490","","2320.9","","1606.3","","1470","F","2222.5","","2669","F","2573","","2865","","3323",""
"Ecuador","Inland waters","t","23421","F","40701","","49650.46","","50064","F","41761","","28592","","28553","F","23757","","29118.4","","29532","F","29513","F"
"Egypt","Inland waters","t","774126","","806201","","1066348","F","1128899","F","1133940","F","1232356","","1251351","F","1275589","F","1444693","F","1470373","F","1564068","F"
"El Salvador","Inland waters","t","7586","","7162.17","","6419.69","","6460","","6155","F","4201","","2327","","6097.71","","7564.68","","7872","F","8172","F"
"Equatorial Guinea","Inland waters","t","902","F","1003","","1015","F","1017","F","1015","F","1015","F","1015","F","1015","F","1015","F","1015","F","1015","F"
"Estonia","Inland waters","t","3648","","3552.6","","3442.04","","3100.34","","3614.398","","3645.214","","3804.475","","3455.7","","3978.733","","3907.461","","4185.661",""
