"Land Area","Ocean Area","Unit","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Togo","Inland waters","t","5107","F","5107","","5100","","5020","","5020","","5023","","5025","","5058","","6141","","6380","","6650",""
"Trinidad and Tobago","Inland waters","t","12.69","","27.36","","13.5","","5.75","","6.55","","7.55","","5.45","","23.8","","11.1","","7.45","","7.45",""
"Tunisia","Inland waters","t","2213","","2395","","2267","","1203","","1272","","1390","","1308","","1668","","1596","","1952","","1373",""
"Turkey","Inland waters","t","107568","","115435","","118827","","137543","","147678","","158093.5","","144373","","135631","","135457","","136155","","135306",""
"Turkmenistan","Inland waters","t","15026","F","15026","F","15026","F","15026","F","15026","F","15030","F","15030","F","15030","F","15055","F","15060","F","15070","F"
"Uganda","Inland waters","t","455750","F","488654.1","F","508805","","523127.7","","503544","","517312","","572219","","513795","","507295.2","","501972.6","","543091",""
"Uganda","Inland waters","no","290","","0",".","0",".","0",".","405","","0",".","515","","500","","500","","0",".","0","."
"Ukraine","Inland waters","t","28517","F","29397.3","F","27255.5","F","27664.8","F","28337.4","F","49973.7","","43884","","41387.3","","45135.6","","46221.2","","48349.43",""
"United Arab Emirates","Inland waters","t","21","","28","","16","","20","","30","","120","F","148","F","150","F","78.9","","258","","258","F"
"United Kingdom","Inland waters","t","13089","","15763.3","","15467.3","","14183.2","","15429.1","","13427","","12166.65","","11468.067","","11297.226","","11414.03","","12058","F"
"United States of America","Inland waters","t","348567","","325427","","324070","","263506","","251088","","272980","","260292","","263746","","274335","","266019","","286935",""
"United States of America","Inland waters","no","230464","","297187","","369731","","310542","","326538","","481304","","485885","","428521","","553372","","463466","","596258",""
"Uruguay","Inland waters","t","656","","855.41","","1132.97","","1377.82","F","1706.232","","2286.86","","2640","","3637.828","","3392.653","","6940.979","","5330.774",""
"US Virgin Islands","Inland waters","t","10","F","10","F","10","F","10","F","10","F","10","F","7.64","","8","F","8","F","8","F","8","F"
"Uzbekistan","Inland waters","t","7900","F","9262","","10732","F","17235.3","","25884.9","","37505.2","","46391.8","","59852.4","","65321.7","","83900","F","90984","F"
"Vanuatu","Inland waters","t","20","F","36.75","","79.5","","43","","43.38","","66.781","F","65.098","F","3.537","","4.545","","7.047","","6.205",""
"Venezuela, Boliv Rep of","Inland waters","t","27641.1","F","38122","F","32319","F","35090","","47873","","49330","F","51905.42","","38937","","32281","","26495","F","26495","F"
"Venezuela, Boliv Rep of","Inland waters","no","15489","","16246","","13652","","27797","","26130","","10741","","16696","","15663","","21465","","25402","","43881",""
"Viet Nam","Inland waters","t","1967920","F","2018600","","2236690","","2304665","F","2550183","","2558422","","2457002","","2501177.43","","2563343.06","","2702798.94","","2944140",""
"Viet Nam","Inland waters","no","23062","","9483","","3285","","4242","","3615","","9319","","20580","","12595","","13041","","18503","","10051",""
"Zambia","Inland waters","t","85044","","93221","","86686","","79894","","93626","","95458","","100107","","106473","","105518","F","105567.1","F","108300","F"
"Zambia","Inland waters","no","28197","","43655","","23717","","43652","","15331","","45368","","44233","","43926","","112374","","31853","","27127",""
"Zimbabwe","Inland waters","t","13152","F","13202","F","13982","F","19582","F","20740","F","23490","F","24750","F","25500","F","25796","","26800","F","27085","F"
"Zimbabwe","Inland waters","no","81554","","62101","","80995","","90535","","88421","","115499","","130735","","115499","","113491","","84210","","98797",""
