"Land Area","Ocean Area","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Lebanon","Inland waters","955","F","1055","F","1155","F","1255","F","1255","F","1155","F","1115","F","1015","F","1015","F","1015","F","1015","F"
"Lesotho","Inland waters","91","","107.6","","300.4","","300.37","","400.37","","500.43","","900.53","","1001","F","1050","F","1801","F","2500.46",""
"Liberia","Inland waters","60","F","70","F","80","F","90","F","100","F","130","F","165","F","180","F","200","F","220","F","240","F"
"Libya","Inland waters","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F","10","F"
"Lithuania","Inland waters","3008","","3421.6","","3190.99","","3279.61","","3581.96","","4210.88","","3835.8","","4450.17","","4392.74","","3749.07","","3750.09",""
"Madagascar","Inland waters","2830","F","2850","F","2880","F","3434","","3630","","3606","F","3773","F","3840.21","","4400","","5390","","2424.007",""
"Malawi","Inland waters","1700","","1620","","2631","","2833","","3232","","3705","","4741.56","","4974","","7646.39","","12216.8","","9014",""
"Malaysia","Inland waters","96043","","152831","","155598","","122406","","164256.61","","133391.56","","107231.376","","112645.13","","103848.207","","103096.93","","101770.07",""
"Mali","Inland waters","821","","1355","F","2083","","2083","","987","","2205.25","","1953","","2400","","4194","","3914","","3926",""
"Martinique","Inland waters","10","","15","F","10","","10","","10","F","10","F","13.5","","13","F","13","F","8","F","9","F"
"Mauritius","Inland waters","60","","102.6","","65.1","","74.1","","74.8","","78.3","","70.5","","2.39","","3.32","","3.32","","3.4",""
"Mexico","Inland waters","23552","","25509.641","","15224","","20325","","35862.619","","39159.026","","84173.235","","64870.67","","75204.52","","71429.354","","70197.372",""
"Moldova, Republic of","Inland waters","7800","F","8200","F","8800","F","9000","F","9080","F","9080","F","11000","","11166.05","","12011.4","","12083","","12530",""
"Montenegro","Inland waters","310","F","231","F","461","F","511","F","530","F","530","F","597","","503","","599","","692","","729",""
"Morocco","Inland waters","365","","385","","410","","338","","280","","540","","650","","580","","632","","674","","660",""
"Mozambique","Inland waters","90","","116","F","197","","284","","495","","581","","1029","","1133","","1180","","1835","","127",""
"Myanmar","Inland waters","617859","","697298.4","","772396.1","","760939","","826944","","870256","","902705.83","","944105.587","","959767.556","","989677.8","","1106891.623",""
"Namibia","Inland waters","20","F","22","F","50.64","F","59.38","","74.18","","110.17","","62.22","","35.04","","48.95","","74.59","F","43.85",""
"Nepal","Inland waters","27250","","26730","","28230","","30950","","34500","","36020","","43400","","48000","","49043","","56157.1","","59000","F"
"Netherlands","Inland waters","8655","","7862","","6485","","4135","","3385","","6330","","5500","","5295","F","5265","F","5315","F","6515","F"
"New Caledonia","Inland waters","3","F","3","F","3","F","3","F","3","F","3","F","3","F","3","F","0",".","0",".","0","."
"New Zealand","Inland waters","0","-","0","-","625","","675","","1203","","573","","1084","","1667","","1492","","1656","","1952",""
"Nicaragua","Inland waters","1388","","1581","","385","","26","","7","","39","","38","","30","F","4","","11","","10","F"
"Niger","Inland waters","40","","70","F","70","F","85","","100","","200","","329","","300","F","300","F","350","","350",""
"Nigeria","Inland waters","143207","","152796","","200535","","221128","","253898","","278706","","313231","","316727","","306727","","296071","","291233",""
"North Macedonia","Inland waters","1287","","1540","","1491","","1368","","1306","","1340","","1214","","991","","986","","1508.4","","1359.3",""
"Northern Mariana Is.","Inland waters","6","F","6","F","4.53","","4.53","","6","F","11","F","19","F","19","F","19","F","19","F","19","F"
"Norway","Inland waters","90","","83","","88","","73","","85.1","","103","","75.5","","85.77","","77.4","","97","","128.7",""
"Oman","Inland waters","0",".","0",".","0",".","1","","3","","3","","5.4","","20","","33","","77.248","","101.45",""
"Pakistan","Inland waters","135000","F","138000","F","140000","F","141830","","142724","","148008","","148266","","151055","","156305","","157340","","158952",""
"Palestine","Inland waters","65","","115","","242","","148","","179","","115","","34","","36","","30","","35","","279",""
"Panama","Inland waters","462","","416.38","","715.53","","871.2","","507.6","","401.2","","265","","89.32","","183.4","","175.36","","1960.8",""
"Papua New Guinea","Inland waters","1100","F","1350","F","1550","","1610","","1610","F","1610","F","1610","F","1720","F","1720","F","1700","","1700","F"
"Paraguay","Inland waters","2450","F","2600","F","2957.42","","4929.06","","5400","F","6450","F","7500","","8481","","8500","F","10781","","11536",""
"Peru","Inland waters","14987","","14837","","17320","","23608.35","","29563.3","","40068.22","","38683.05","","45758","","58767.18","","61031.66","","61398.12",""
